Pl0,Pl1,Winner,Pl0 %,Pl1 %,Pl0 Avg odds,Pl1 Avg odds,Pl0 Max odds,Pl1 Max odds,Fair odds for Pl0,Fair odds for Pl1,Bet on Pl0 Value,Bet on Pl1 Value
Bemelmans R.,Jaziri M.,0.0,0.3,0.7,1.27,3.7,1.3,4.19,3.33,1.43,-0.6096096096096096,0.658711217183771
Pospisil V.,Nalbandian D.,1.0,0.15,0.85,4.77,1.17,5.45,1.2,6.67,1.18,-0.18290854572713638,0.016666666666666684
Soeda G.,Phau B.,0.0,0.69,0.31,1.55,2.4,1.62,2.5,1.45,3.23,0.10493827160493836,-0.2260061919504644
Lorenzi P.,Ito T.,1.0,0.3,0.7,3.12,1.35,3.3,1.42,3.33,1.43,-0.009009009009009084,-0.006993006993007
Cilic M.,Ebden M.,0.0,0.92,0.08,1.18,4.68,1.22,5.5,1.09,12.5,0.10655737704918024,-0.56
Karlovic I.,Lu Y.H.,1.0,0.73,0.27,1.22,4.21,1.3,5.15,1.37,3.7,-0.05109489051094895,0.28155339805825247
Bolelli S.,Simon G.,0.0,0.31,0.69,3.75,1.26,4.1,1.3,3.23,1.45,0.21219512195121945,-0.10344827586206891
Roddick A.,Roger-Vasselin E.,1.0,0.9,0.1,1.32,3.3,1.39,3.6,1.11,10.0,0.2014388489208632,-0.64
Dimitrov G.,Muller G.,0.0,0.71,0.29,1.75,2.02,1.85,2.2,1.41,3.45,0.2378378378378379,-0.36231884057971014
Darcis S.,Lopez F.,1.0,0.23,0.77,2.63,1.47,2.9,1.59,4.35,1.3,-0.3333333333333333,0.18238993710691825
Anderson K.,Stakhovsky S.,0.0,0.67,0.33,1.5,2.54,1.57,2.8,1.49,3.03,0.0509554140127389,-0.07590759075907591
Murray A.,Mahut N.,1.0,0.88,0.12,1.09,7.01,1.12,9.0,1.14,8.33,-0.01754385964912263,0.07444444444444444
Malisse X.,Bogomolov A.,0.0,0.68,0.32,1.25,3.82,1.3,5.6,1.47,3.12,-0.11564625850340131,0.4428571428571428
Baghdatis M.,Rosol L.,1.0,0.79,0.21,1.3,3.42,1.36,3.75,1.27,4.76,0.06617647058823535,-0.2121848739495798
Dodig I.,Soeda G.,0.0,0.83,0.17,1.82,1.93,1.92,2.04,1.2,5.88,0.375,-0.6530612244897959
Ito T.,Benneteau J.,1.0,0.27,0.73,3.04,1.37,3.27,1.41,3.7,1.37,-0.11621621621621625,0.028368794326241006
Querrey S.,Istomin D.,0.0,0.55,0.45,1.6,2.29,1.66,2.5,1.82,2.22,-0.08791208791208799,0.11199999999999992
