Date;Player 0;Player 1;Chance Pl0;Chance Pl1;Value on Bet 0;Value on Bet 1;Bet on Player:;Stake;Odds;Won;Profit;;;
07/05/2010;Troicki V,;Wawrinka S,;0,315248454;0,684751546;0,234299517;-0,061643836;0;1;3,37;NO;-1;;;
07/05/2010;Querrey S,;Andreev I,;0,41230422;0,58769578;-0,028806584;0,01734104;1;1;1,67;NO;-1;;;
07/05/2010;Djokovic N,;Krajinovic F,;0,871900036;0,128099964;-0,07826087;0,4453125;1;1;10;YES;9;;;
08/05/2010;Isner J,;Wawrinka S,;0,340673267;0,659326733;0,289855072;-0,131578947;0;1;3,53;YES;2,53;;;
08/05/2010;Krajinovic F,;Querrey S,;0,477489189;0,522510811;0,545652174;-0,345549738;0;1;4,11;NO;-1;;;
09/05/2010;Querrey S,;Isner J,;0,410296716;0,589703284;-0,254098361;0,028571429;1;1;2,02;NO;-1;;;
03/05/2010;Kunitsyn I,;Clement A,;0,275634406;0,724365594;-0,517906336;0,427385892;1;1;2,22;YES;1,22;;;
03/05/2010;Falla A,;Chela J,I,;0,249744537;0,750255463;0,036144578;0,014814815;0;1;3,42;YES;2,42;;;
03/05/2010;Falla A,;Chela J,I,;0,249744537;0,750255463;0,036144578;0,014814815;1;1;1,29;NO;-1;;;
03/05/2010;Mello R,;Tavares L,;0,235616634;0,764383366;-0,653301887;0,596923077;1;1;2,92;YES;1,92;;;
03/05/2010;Granollers M,;Hernandez O,;0,626730485;0,373269515;-0,025;0,042857143;1;1;2,6;NO;-1;;;
04/05/2010;Del Bonis F,;Martin A,;0,181155529;0,818844471;-0,710144928;0,539622642;1;1;2,41;YES;1,41;;;
04/05/2010;Phau B,;Lopez M,;0,621396526;0,378603474;0,454237288;-0,412878788;0;1;2,59;YES;1,59;;;
04/05/2010;Andujar P,;Cuevas P,;0,359504141;0,640495859;0,014184397;0,012658228;0;1;2,51;NO;-1;;;
04/05/2010;Andujar P,;Cuevas P,;0,359504141;0,640495859;0,014184397;0,012658228;1;1;1,5;YES;0,5;;;
04/05/2010;Machado R,;Massu N,;0,175600815;0,824399185;-0,736379613;0,603278689;1;1;2,68;NO;-1;;;
04/05/2010;Garcia-Lopez G,;Malisse X,;0,608054876;0,391945124;-0,146341463;0,316353887;1;1;3,16;NO;-1;;;
04/05/2010;Darcis S,;Giraldo S,;0,401249066;0,598750934;0,252252252;-0,161676647;0;1;3,05;NO;-1;;;
04/05/2010;Gimeno-Traver D,;Lapentti N,;0,388827681;0,611172319;-0,350194553;0,374045802;1;1;2,26;NO;-1;;;
05/05/2010;Granollers M,;Cuevas P,;0,364798447;0,635201553;-0,343065693;0,356557377;1;1;2,07;YES;1,07;;;
05/05/2010;Clement A,;Falla A,;0,58277293;0,41722707;0,335907336;-0,304166667;0;1;2,28;YES;1,28;;;
05/05/2010;Gimeno-Traver D,;Montanes A,;0,239099029;0,760900971;-0,401913876;0,251428571;1;1;1,59;YES;0,59;;;
06/05/2010;Tavares L,;Garcia-Lopez G,;0,140638645;0,859361355;-0,185654008;0,041322314;1;1;1,17;YES;0,17;;;
06/05/2010;Martin A,;Marrero D,;0,895166503;0,104833497;0,222222222;-0,725366876;0;1;1,44;YES;0,44;;;
06/05/2010;Przysiezny M,;Machado R,;0,295016345;0,704983655;-0,262536873;0,1125;1;1;1,57;YES;0,57;;;
06/05/2010;Gil F,;Giraldo S,;0,402793216;0,597206784;0,008;-0,005988024;0;1;2,36;YES;1,36;;;
07/05/2010;Cuevas P,;Montanes A,;0,496268652;0,503731348;0,265454545;-0,195979899;0;1;2,52;NO;-1;;;
07/05/2010;Federer R,;Clement A,;0,921375058;0,078624942;-0,055045872;0,47;1;1;13,06;NO;-1;;;
07/05/2010;Machado R,;Gil F,;0,220398649;0,779601351;-0,524229075;0,329842932;1;1;1,78;YES;0,78;;;
07/05/2010;Garcia-Lopez G,;Martin A,;0,580517932;0,419482068;-0,226744186;0,405;1;1;3,52;NO;-1;;;
08/05/2010;Federer R,;Montanes A,;0,896123119;0,103876881;0,050847458;-0,273104881;0;1;1,12;NO;-1;;;
08/05/2010;Gil F,;Garcia-Lopez G,;0,461144015;0,538855985;0,26440678;-0,155913978;0;1;2,64;YES;1,64;;;
03/05/2010;Youzhny M,;Chardy J,;0,535775195;0,464224805;-0,197860963;0,290429043;1;1;2,74;NO;-1;;;
03/05/2010;Robert S,;Becker B,;0,341285079;0,658714921;-0,42662116;0,447272727;1;1;2,31;YES;1,31;;;
03/05/2010;Beck A,;Istomin D,;0,504427742;0,495572258;-0,015151515;0,077625571;1;1;1,92;NO;-1;;;
03/05/2010;Benneteau J,;Petzschner P,;0,542243159;0,457756841;0,159817352;-0,105504587;0;1;1,93;NO;-1;;;
03/05/2010;Berdych T,;Krawietz K,;0,9728625;0,0271375;0,019047619;-0,511533243;0;1;1,03;YES;0,03;;;
04/05/2010;Gojowczyk P,;Baghdatis M,;0,351199003;0,648800997;0,68013468;-0,272727273;0;1;7,17;NO;-1;;;
04/05/2010;Hajek J,;Sidorenko A,;0,58919245;0,41080755;-0,076470588;0,228571429;1;1;2,63;NO;-1;;;
04/05/2010;Ancic M,;Koellerer D,;0,579714823;0,420285177;-0,069767442;0,431980907;1;1;3,47;YES;2,47;;;
04/05/2010;Riba P,;Lacko L,;0,621313151;0,378686849;-0,099378882;0,153846154;1;1;2,79;NO;-1;;;
04/05/2010;Ascione T,;Chiudinelli M,;0,366440636;0,633559364;-0,216117216;0,265116279;1;1;1,96;YES;0,96;;;
04/05/2010;Greul S,;Kiefer N,;0,346580685;0,653419315;-0,408304498;0,37804878;1;1;2,28;NO;-1;;;
05/05/2010;Berrer M,;Cilic M,;0,263125751;0,736874249;0,224489796;-0,051470588;0;1;3,92;NO;-1;;;
05/05/2010;Ventura S,;Dolgopolov O,;0,332076697;0,667923303;-0,003322259;0,032258065;1;1;1,42;NO;-1;;;
05/05/2010;Vliegen K,;Almagro N,;0,13686746;0,86313254;0,08625;-0,00862069;0;1;6,09;NO;-1;;;
05/05/2010;Kohlschreiber P,;Brands D,;0,811841882;0,188158118;0;0,039783002;1;1;4,45;NO;-1;;;
05/05/2010;Zverev M,;Anderson K,;0,15709254;0,84290746;-0,67032967;0,373684211;1;1;1,79;YES;0,79;;;
05/05/2010;Hajek J,;Becker B,;0,492749188;0,507250812;-0,177339901;0,22745098;1;1;2,31;NO;-1;;;
05/05/2010;Koellerer D,;Petzschner P,;0,269540289;0,730459711;-0,23180593;0,104575163;1;1;1,45;YES;0,45;;;
05/05/2010;Berdych T,;Riba P,;0,921421673;0,078578327;0,03539823;-0,371563236;0;1;1,1;YES;0,1;;;
05/05/2010;Beck A,;Youzhny M,;0,13854209;0,86145791;-0,272853186;0,041322314;1;1;1,17;YES;0,17;;;
06/05/2010;Kohlschreiber P,;Ventura S,;0,776761937;0,223238063;-0,124031008;0,507692308;1;1;7,12;NO;-1;;;
06/05/2010;Chiudinelli M,;Baghdatis M,;0,274203614;0,725796386;-0,087671233;0,034965035;1;1;1,38;YES;0,38;;;
06/05/2010;Almagro N,;Anderson K,;0,581302735;0,418697265;-0,302325581;0,6176;1;1;5,39;NO;-1;;;
06/05/2010;Greul S,;Cilic M,;0,16413293;0,83586707;-0,129720854;0,016393443;1;1;1,17;YES;0,17;;;
07/05/2010;Youzhny M,;Hajek J,;0,822669447;0,177330553;-0,016393443;0,020833333;1;1;4,94;NO;-1;;;
07/05/2010;Berdych T,;Petzschner P,;0,856336554;0,143663446;0,040983607;-0,245689655;0;1;1,18;NO;-1;;;
07/05/2010;Baghdatis M,;Kohlschreiber P,;0,281576709;0,718423291;0,249471459;-0,071942446;0;1;3,88;YES;2,88;;;
07/05/2010;Almagro N,;Cilic M,;0,442730181;0,557269819;-0,053097345;0,057894737;1;1;1,78;YES;0,78;;;
08/05/2010;Youzhny M,;Petzschner P,;0,717991229;0,282008771;0,027972028;0,013888889;0;1;1,35;YES;0,35;;;
08/05/2010;Youzhny M,;Petzschner P,;0,717991229;0,282008771;0,027972028;0,013888889;1;1;3,09;NO;-1;;;
08/05/2010;Baghdatis M,;Cilic M,;0,226850169;0,773149831;-0,297052154;0,14;1;1;1,43;YES;0,43;;;
09/05/2010;Youzhny M,;Cilic M,;0,400837437;0,599162563;-0,21686747;0,102150538;1;1;1,88;NO;-1;;;
09/05/2010;Korolev E,;Karlovic I,;0,405906108;0,594093892;-0,012195122;0,066666667;1;1;1,59;YES;0,59;;;
09/05/2010;Chardy J,;Ferrer D,;0,239871604;0,760128396;0,485185185;-0,136363636;0;1;6,18;NO;-1;;;
10/05/2010;Melzer J,;Anderson K,;0,43057332;0,56942668;-0,327586207;0,411371237;1;1;2,56;NO;-1;;;
10/05/2010;Seppi A,;Dolgopolov O,;0,453463472;0,546536528;-0,239819005;0,282352941;1;1;2,25;YES;1,25;;;
10/05/2010;Monfils G,;Robert S,;0,87691572;0,12308428;0,142857143;-0,503694581;0;1;1,28;YES;0,28;;;
10/05/2010;Benneteau J,;Mayer L,;0,416345347;0,583654653;0,024390244;-0,023391813;0;1;2,25;NO;-1;;;
10/05/2010;Giraldo S,;Kohlschreiber P,;0,27435329;0,72564671;-0,258241758;0,183431953;1;1;1,56;NO;-1;;;
