Date,Pl0,Pl1,Winner,Pl0 %,Pl1 %,Pl0 Avg odds,Pl1 Avg odds,Pl0 Max odds,Pl1 Max odds,Fair odds for Pl0,Fair odds for Pl1,Bet on Pl0 Value,Bet on Pl1 Value
2010-04-27,Monaco J.,Hanescu V.,1.0,0.62,0.38,1.6,2.27,1.74,2.4,1.61,2.63,0.07471264367816086,-0.08745247148288973
2010-04-27,Djokovic N.,Chardy J.,0.0,0.9,0.1,1.1,6.37,1.14,8.38,1.11,10.0,0.026315789473684043,-0.16199999999999992
2010-04-27,Federer R.,Gulbis E.,1.0,0.89,0.11,1.2,4.34,1.25,5.25,1.12,9.09,0.10399999999999991,-0.42244224422442245
2010-04-27,Murray A.,Seppi A.,0.0,0.86,0.14,1.32,3.25,1.36,4.0,1.16,7.14,0.14705882352941188,-0.43977591036414565
2010-04-28,Lorenzi P.,Soderling R.,1.0,0.13,0.87,8.89,1.06,12.5,1.08,7.69,1.15,0.3848,-0.06086956521739117
2010-04-28,Volandri F.,Benneteau J.,0.0,0.42,0.58,2.08,1.7,2.35,1.85,2.38,1.72,-0.012605042016806641,0.07027027027027033
2010-04-28,Hewitt L.,Garcia-Lopez G.,1.0,0.75,0.25,1.63,2.22,1.73,2.4,1.33,4.0,0.23121387283236988,-0.4
2010-04-28,Giraldo S.,Llodra M.,0.0,0.63,0.37,1.4,2.85,1.5,3.05,1.59,2.7,-0.05660377358490571,0.11475409836065563
2010-04-28,Berdych T.,Wawrinka S.,1.0,0.55,0.45,1.79,1.95,1.99,2.1,1.82,2.22,0.08542713567839193,-0.0540540540540541
2010-04-28,Nadal R.,Kohlschreiber P.,0.0,0.91,0.09,1.02,14.38,1.03,25.0,1.1,11.11,-0.06363636363636369,0.5556
2010-04-28,Bolelli S.,Verdasco F.,1.0,0.14,0.86,4.83,1.16,6.0,1.2,7.14,1.16,-0.15966386554621845,0.03333333333333337
2010-04-28,Ljubicic I.,Almagro N.,0.0,0.52,0.48,2.26,1.61,2.56,1.7,1.92,2.08,0.25000000000000006,-0.18269230769230774
2010-04-28,Isner J.,Bellucci T.,1.0,0.6,0.4,2.8,1.41,3.01,1.45,1.67,2.5,0.44518272425249167,-0.42000000000000004
2010-04-28,Tsonga J.W.,Troicki V.,0.0,0.78,0.22,1.32,3.24,1.37,4.0,1.28,4.55,0.06569343065693437,-0.12087912087912084
2010-04-28,Cilic M.,Lopez F.,1.0,0.65,0.35,1.35,3.12,1.45,3.5,1.54,2.86,-0.05844155844155849,0.18285714285714288
2010-04-28,Ferrer D.,Starace P.,0.0,0.8,0.2,1.18,4.54,1.25,5.0,1.25,5.0,0.0,0.0
2010-04-29,Bellucci T.,Djokovic N.,1.0,0.08,0.92,5.05,1.15,6.0,1.2,12.5,1.09,-0.52,0.09166666666666656
2010-04-29,Verdasco F.,Garcia-Lopez G.,0.0,0.69,0.31,1.25,3.81,1.31,4.25,1.45,3.23,-0.09655172413793096,0.24
2010-04-29,Volandri F.,Gulbis E.,1.0,0.44,0.56,3.29,1.32,3.75,1.35,2.27,1.79,0.39466666666666667,-0.24581005586592175
2010-04-29,Tsonga J.W.,Giraldo S.,0.0,0.82,0.18,1.41,2.79,1.5,3.25,1.22,5.56,0.18666666666666668,-0.41546762589928055
2010-04-29,Ljubicic I.,Lopez F.,1.0,0.65,0.35,1.51,2.5,1.6,2.9,1.54,2.86,0.03750000000000003,0.013793103448275874
2010-04-29,Ferrer D.,Murray A.,0.0,0.34,0.66,1.65,2.17,1.73,2.41,2.94,1.52,-0.41156462585034015,0.36929460580912865
2010-04-29,Soderling R.,Wawrinka S.,1.0,0.42,0.58,1.44,2.72,1.51,2.9,2.38,1.72,-0.36554621848739494,0.4068965517241379
2010-04-29,Nadal R.,Hanescu V.,0.0,0.95,0.05,1.01,18.83,1.02,46.0,1.05,20.0,-0.028571428571428595,0.5652173913043478
2010-04-30,Djokovic N.,Verdasco F.,1.0,0.87,0.13,1.53,2.43,1.68,2.62,1.15,7.69,0.3154761904761905,-0.659297789336801
2010-04-30,Ferrer D.,Tsonga J.W.,0.0,0.48,0.52,1.41,2.8,1.47,3.4,2.08,1.92,-0.2932692307692308,0.43529411764705883
2010-04-30,Wawrinka S.,Nadal R.,1.0,0.11,0.89,12.31,1.03,18.1,1.05,9.09,1.12,0.49779005524861886,-0.06250000000000006
2010-04-30,Gulbis E.,Lopez F.,0.0,0.53,0.47,1.43,2.72,1.5,3.05,1.89,2.13,-0.2063492063492063,0.30163934426229505
2010-05-01,Verdasco F.,Ferrer D.,1.0,0.44,0.56,1.99,1.78,2.11,1.91,2.27,1.79,-0.07048458149779742,0.06282722513089
2010-05-01,Nadal R.,Gulbis E.,0.0,0.93,0.07,1.03,11.72,1.1,17.0,1.08,14.29,0.018181818181818195,0.1594117647058824
2010-05-02,Ferrer D.,Nadal R.,1.0,0.1,0.9,6.7,1.1,8.8,1.18,10.0,1.11,-0.11999999999999993,0.059322033898304954
2010-05-03,Andreev I.,Kavcic B.,0.0,0.74,0.26,1.2,4.23,1.25,5.05,1.35,3.85,-0.07407407407407414,0.23762376237623759
2010-05-03,Beck K.,Serra F.,1.0,0.19,0.81,5.35,1.14,7.0,1.2,5.26,1.23,0.2485714285714286,-0.024390243902439046
2010-05-03,Korolev E.,Russell M.,0.0,0.68,0.32,1.58,2.29,1.67,2.56,1.47,3.12,0.11976047904191614,-0.1794871794871795
2010-05-03,Lajovic D.,Karlovic I.,1.0,0.35,0.65,5.66,1.12,6.6,1.18,2.86,1.54,0.5666666666666667,-0.23376623376623382
2010-05-03,Troicki V.,Navarro-Pastor I.,0.0,0.77,0.23,1.26,3.73,1.3,4.65,1.3,4.35,0.0,0.06451612903225822
2010-05-04,Cipolla F.,Ouanna J.,1.0,0.31,0.69,1.92,1.82,2.0,1.95,3.23,1.45,-0.38080495356037153,0.25641025641025644
2010-05-04,Gasquet R.,Rochus O.,0.0,0.78,0.22,1.17,4.75,1.25,5.49,1.28,4.55,-0.02343750000000002,0.1712204007285975
2010-05-04,Skugor F.,Fognini F.,1.0,0.1,0.9,2.05,1.72,2.2,1.84,10.0,1.11,-0.78,0.3967391304347826
2010-05-04,Krajinovic F.,Donskoy E.,0.0,0.67,0.33,1.79,1.95,1.97,2.1,1.49,3.03,0.24365482233502536,-0.30693069306930687
2010-05-04,Mayer L.,Seppi A.,1.0,0.46,0.54,1.98,1.76,2.3,1.88,2.17,1.85,0.05652173913043474,0.015957446808510536
2010-05-04,Di Mauro A.,Djokovic M.,0.0,0.99,0.01,1.22,4.05,1.3,5.11,1.01,100.0,0.2230769230769231,-0.9489
2010-05-04,Polansky P.,Zeballos H.,1.0,0.18,0.82,4.76,1.15,5.0,1.17,5.56,1.22,-0.1007194244604316,-0.04098360655737709
2010-05-05,Andreev I.,Karlovic I.,0.0,0.6,0.4,1.65,2.17,1.75,2.47,1.67,2.5,0.045714285714285756,-0.011999999999999922
2010-05-05,Korolev E.,Querrey S.,1.0,0.41,0.59,2.18,1.64,2.4,1.8,2.44,1.69,-0.016393442622950834,0.061111111111111165
2010-05-05,Wawrinka S.,Di Mauro A.,0.0,0.93,0.07,1.05,9.77,1.09,14.05,1.08,14.29,0.009174311926605512,-0.016794961511546427
2010-05-05,Serra F.,Troicki V.,1.0,0.32,0.68,2.41,1.54,2.63,1.6,3.12,1.47,-0.1570512820512821,0.08125000000000007
2010-05-06,Gasquet R.,Seppi A.,0.0,0.62,0.38,1.39,2.89,1.48,3.05,1.61,2.63,-0.0807453416149069,0.13770491803278687
2010-05-06,Ouanna J.,Isner J.,1.0,0.19,0.81,3.21,1.33,3.55,1.39,5.26,1.23,-0.32509505703422054,0.1151079136690647
2010-05-06,Krajinovic F.,Zeballos H.,0.0,0.45,0.55,3.87,1.24,4.55,1.3,2.22,1.82,0.512087912087912,-0.2857142857142857
2010-05-06,Fognini F.,Djokovic N.,1.0,0.12,0.88,11.28,1.03,16.0,1.05,8.33,1.14,0.479375,-0.07894736842105252
2010-05-07,Isner J.,Gasquet R.,0.0,0.47,0.53,2.36,1.56,2.69,1.62,2.13,1.89,0.20817843866171007,-0.14285714285714277
2010-05-07,Troicki V.,Wawrinka S.,1.0,0.32,0.68,3.37,1.3,4.14,1.37,3.12,1.47,0.24637681159420283,-0.06802721088435365
2010-05-07,Querrey S.,Andreev I.,0.0,0.4,0.6,2.14,1.67,2.36,1.73,2.5,1.67,-0.05600000000000005,0.03468208092485552
2010-05-07,Djokovic N.,Krajinovic F.,1.0,0.87,0.13,1.04,10.0,1.06,14.08,1.15,7.69,-0.07826086956521727,0.45383522727272724
2010-05-08,Isner J.,Wawrinka S.,0.0,0.34,0.66,3.53,1.28,4.14,1.32,2.94,1.52,0.28985507246376807,-0.13157894736842102
2010-05-08,Krajinovic F.,Querrey S.,1.0,0.48,0.52,4.11,1.21,4.6,1.25,2.08,1.92,0.5478260869565217,-0.3489583333333333
2010-05-09,Querrey S.,Isner J.,0.0,0.41,0.59,2.2,2.02,1.82,1.75,2.44,1.69,-0.25409836065573765,0.034285714285714315
2010-05-03,Kunitsyn I.,Clement A.,1.0,0.27,0.73,1.62,2.22,1.75,2.41,3.7,1.37,-0.5270270270270271,0.43153526970954353
2010-05-03,Falla A.,Chela J.I.,0.0,0.26,0.74,3.42,1.29,4.15,1.35,3.85,1.35,0.07228915662650608,0.0
2010-05-03,Mello R.,Tavares L.,1.0,0.22,0.78,1.38,2.92,1.47,3.25,4.55,1.28,-0.676923076923077,0.6061538461538462
2010-05-03,Granollers M.,Hernandez O.,0.0,0.62,0.38,1.47,2.6,1.56,2.8,1.61,2.63,-0.03105590062111804,0.06071428571428569
2010-05-04,Del Bonis F.,Martin A.,1.0,0.19,0.81,1.54,2.41,1.6,2.65,5.26,1.23,-0.6958174904942965,0.5358490566037736
2010-05-04,Phau B.,Lopez M.,0.0,0.62,0.38,2.59,1.46,2.95,1.55,1.61,2.63,0.4542372881355932,-0.4106463878326996
2010-05-04,Andujar P.,Cuevas P.,1.0,0.36,0.64,2.51,1.5,2.82,1.58,2.78,1.56,0.014184397163120581,0.012658227848101276
2010-05-04,Machado R.,Massu N.,0.0,0.18,0.82,1.44,2.68,1.5,3.05,5.56,1.22,-0.7302158273381295,0.6
2010-05-04,Mayer F.,Gil F.,1.0,0.61,0.39,1.58,2.3,1.65,2.53,1.64,2.56,0.006060606060606067,-0.011718750000000097
2010-05-04,Garcia-Lopez G.,Malisse X.,0.0,0.61,0.39,1.34,3.16,1.4,3.73,1.64,2.56,-0.14634146341463414,0.3136729222520107
2010-05-04,Darcis S.,Giraldo S.,1.0,0.41,0.59,3.05,1.35,3.33,1.4,2.44,1.69,0.2672672672672673,-0.1715976331360947
2010-05-04,Gimeno-Traver D.,Lapentti N.,0.0,0.39,0.61,1.6,2.26,1.67,2.62,2.56,1.64,-0.34765625000000006,0.3740458015267176
2010-05-05,Granollers M.,Cuevas P.,1.0,0.36,0.64,1.71,2.07,1.8,2.44,2.78,1.56,-0.3525179856115107,0.360655737704918
2010-05-05,Clement A.,Falla A.,0.0,0.58,0.42,2.28,1.6,2.59,1.67,1.72,2.38,0.3359073359073359,-0.29831932773109243
2010-05-05,Gimeno-Traver D.,Montanes A.,1.0,0.24,0.76,2.28,1.59,2.5,1.75,4.17,1.32,-0.40047961630695444,0.2457142857142857
2010-05-05,Federer R.,Phau B.,0.0,0.95,0.05,1.02,12.12,1.04,18.08,1.05,20.0,-0.009523809523809532,-0.09600000000000009
2010-05-06,Tavares L.,Garcia-Lopez G.,1.0,0.14,0.86,4.72,1.17,5.79,1.21,7.14,1.16,-0.1890756302521008,0.04132231404958681
2010-05-06,Martin A.,Marrero D.,0.0,0.9,0.1,1.44,2.62,1.44,2.62,1.11,10.0,0.22916666666666657,-0.738
2010-05-06,Przysiezny M.,Machado R.,1.0,0.3,0.7,2.3,1.57,2.5,1.6,3.33,1.43,-0.24924924924924927,0.1062500000000001
2010-05-06,Gil F.,Giraldo S.,0.0,0.41,0.59,2.36,1.55,2.5,1.66,2.44,1.69,0.02400000000000002,-0.017751479289940846
2010-05-07,Cuevas P.,Montanes A.,1.0,0.5,0.5,2.52,1.5,2.75,1.6,2.0,2.0,0.2727272727272727,-0.19999999999999996
2010-05-07,Federer R.,Clement A.,0.0,0.92,0.08,1.02,13.06,1.03,24.0,1.09,12.5,-0.05504587155963307,0.4791666666666667
2010-05-07,Machado R.,Gil F.,1.0,0.22,0.78,1.97,1.78,2.16,1.91,4.55,1.28,-0.5252747252747252,0.32984293193717273
2010-05-07,Garcia-Lopez G.,Martin A.,0.0,0.58,0.42,1.28,3.52,1.33,4.0,1.72,2.38,-0.2267441860465116,0.405
2010-05-08,Federer R.,Montanes A.,1.0,0.9,0.1,1.12,5.83,1.18,7.0,1.11,10.0,0.059322033898304954,-0.3
2010-05-08,Gil F.,Garcia-Lopez G.,0.0,0.47,0.53,2.64,1.46,2.95,1.57,2.13,1.89,0.2779661016949153,-0.16931216931216925
2010-05-09,Gil F.,Montanes A.,1.0,0.37,0.63,3.03,3.3,1.36,1.45,2.7,1.59,-0.4962962962962963,-0.08805031446540888
2010-05-03,Youzhny M.,Chardy J.,0.0,0.53,0.47,1.43,2.74,1.5,3.03,1.89,2.13,-0.2063492063492063,0.297029702970297
2010-05-03,Robert S.,Becker B.,1.0,0.34,0.66,1.58,2.31,1.68,2.75,2.94,1.52,-0.4285714285714286,0.44727272727272727
2010-05-03,Beck A.,Istomin D.,0.0,0.5,0.5,1.81,1.92,1.95,2.19,2.0,2.0,-0.025000000000000022,0.08675799086757989
2010-05-03,Benneteau J.,Petzschner P.,1.0,0.54,0.46,1.93,1.8,2.19,1.95,1.85,2.17,0.15525114155251135,-0.10138248847926266
2010-05-03,Berdych T.,Krawietz K.,0.0,0.97,0.03,1.03,11.98,1.05,18.0,1.03,33.33,0.019047619047619063,-0.4599459945994599
2010-05-04,Gojowczyk P.,Baghdatis M.,1.0,0.37,0.63,7.17,1.08,8.91,1.12,2.7,1.59,0.6969696969696969,-0.29559748427672955
2010-05-04,Hajek J.,Sidorenko A.,0.0,0.6,0.4,1.46,2.63,1.57,3.15,1.67,2.5,-0.05988023952095801,0.20634920634920634
2010-05-04,Ancic M.,Koellerer D.,1.0,0.56,0.44,1.31,3.47,1.6,4.19,1.79,2.27,-0.10614525139664802,0.45823389021479716
2010-05-04,Riba P.,Lacko L.,0.0,0.62,0.38,1.41,2.79,1.45,3.12,1.61,2.63,-0.09937888198757772,0.1570512820512821
2010-05-04,Ascione T.,Chiudinelli M.,1.0,0.36,0.64,1.79,1.96,2.14,2.15,2.78,1.56,-0.2302158273381294,0.27441860465116275
2010-05-04,Greul S.,Kiefer N.,0.0,0.35,0.65,1.59,2.28,1.71,2.46,2.86,1.54,-0.4020979020979021,0.37398373983739835
2010-05-05,Berrer M.,Cilic M.,1.0,0.26,0.74,3.92,1.23,4.9,1.29,3.85,1.35,0.21428571428571433,-0.04444444444444448
